Scenario,Type,Mode,Payload Size,Requests/sec,p50 (ms),p99 (ms),Success %,CPU %,Peak Mem MB,Status Codes
Datadog Small,datadog,passthrough,228,4071,1.03,1.44,100,0,6.4,"202:10"
Datadog Small,datadog,with-rules,228,3677,1.35,1.75,100,0,8.9,"202:10"
Datadog Large,datadog,passthrough,1129,3295,1.54,1.95,100,0,6.5,"202:10"
Datadog Large,datadog,with-rules,1129,3855,1.09,1.63,100,0,8.9,"202:10"
Datadog 1MB,datadog,passthrough,1473789,152,44.9,64.27,100,0,6.5,"202:10"
Datadog 1MB,datadog,with-rules,1473789,121,48.52,81.26,100,0,8.9,"202:10"
OTLP Small,otlp,passthrough,559,3759,1.26,1.4,100,0,6.5,"202:10"
OTLP Small,otlp,with-rules,559,3551,1.36,1.6,100,0,9.0,"202:10"
OTLP Large,otlp,passthrough,3177,3810,1.14,1.54,100,0,6.6,"202:10"
OTLP Large,otlp,with-rules,3177,3545,1.32,1.49,100,0,9.0,"202:10"
OTLP 1MB,otlp,passthrough,1624770,112,56.03,87.33,100,0,27.6,"202:10"
OTLP 1MB,otlp,with-rules,1624770,150,47.31,65,100,0,8.9,"202:10"
Datadog Small,otelcol-datadog,passthrough,228,2088,1.32,1.89,100,0,175.9,"202:10"
Datadog Small,otelcol-datadog,with-rules,228,4314,1.17,1.49,100,0,176.5,"202:10"
Datadog Large,otelcol-datadog,passthrough,1129,4371,1.16,1.42,100,0,176.2,"202:10"
Datadog Large,otelcol-datadog,with-rules,1129,3753,1.42,1.75,100,0,178.3,"202:10"
Datadog 1MB,otelcol-datadog,passthrough,1473789,83,79.2,116.54,100,0,268.9,"202:10"
Datadog 1MB,otelcol-datadog,with-rules,1473789,22,387.51,439.18,100,210.0,244.4,"202:10"
OTLP Small,otelcol-otlp,passthrough,559,4699,0.84,1.11,100,0,175.2,"200:10"
OTLP Small,otelcol-otlp,with-rules,559,4197,1.04,1.33,100,0,177.1,"200:10"
OTLP Large,otelcol-otlp,passthrough,3177,4484,0.93,1.18,100,0,174.7,"200:10"
OTLP Large,otelcol-otlp,with-rules,3177,4059,1.11,1.38,100,0,178.8,"200:10"
OTLP 1MB,otelcol-otlp,passthrough,1624770,188,44.13,51.8,100,0,173.5,"200:10"
OTLP 1MB,otelcol-otlp,with-rules,1624770,33,279.53,294.63,100,310.0,235.8,"200:10"
Datadog Small,vector-datadog,passthrough,228,3913,1.23,1.45,100,0,71.7,"200:10"
Datadog Small,vector-datadog,with-rules,228,4121,1.14,1.32,100,0,75.8,"200:10"
Datadog Large,vector-datadog,passthrough,1129,4376,1.09,1.29,100,0,71.6,"200:10"
Datadog Large,vector-datadog,with-rules,1129,4358,0.97,1.3,100,0,75.6,"200:10"
Datadog 1MB,vector-datadog,passthrough,1473789,137,65.18,71.35,100,0,71.8,"200:10"
Datadog 1MB,vector-datadog,with-rules,1473789,116,80.13,84.29,100,0,170.4,"200:10"
OTLP Small,vector-otlp,passthrough,559,3611,1.3,1.82,100,0,71.5,"202:10"
OTLP Small,vector-otlp,with-rules,559,3414,1.61,1.79,100,0,75.4,"202:10"
OTLP Large,vector-otlp,passthrough,3177,2873,2.04,2.23,100,0,71.3,"202:10"
OTLP Large,vector-otlp,with-rules,3177,2804,2.12,2.41,100,0,75.4,"202:10"
OTLP 1MB,vector-otlp,passthrough,1624770,913,9.4,9.67,100,0,71.5,"202:10"
OTLP 1MB,vector-otlp,with-rules,1624770,525,16.02,17.74,100,0,75.6,"202:10"
