Scenario,Type,Mode,Payload Size,Requests/sec,p50 (ms),p99 (ms),Success %
Datadog Small,datadog,passthrough,153,39541,2.32,20.64,100
Datadog Small,datadog,with-rules,153,37445,2.7,17.67,100
Datadog Large,datadog,passthrough,1236,33861,2.77,27.65,100
Datadog Large,datadog,with-rules,1236,36751,2.65,18.28,100
Datadog 1MB,datadog,passthrough,1555891,1486,74.53,347.01,100
Datadog 1MB,datadog,with-rules,1555891,1042,74.21,585.75,100
OTLP Small,otlp,passthrough,250,37421,2.3,21.34,100
OTLP Small,otlp,with-rules,250,36642,2.82,17.61,100
OTLP Large,otlp,passthrough,1802,31975,3.35,20.8,100
OTLP Large,otlp,with-rules,1802,32985,3.2,25.64,100
OTLP 1MB,otlp,passthrough,1847231,3201,41.34,73.89,100
OTLP 1MB,otlp,with-rules,1847231,3097,42.72,83.88,100
